Date,Peak Demand (in MW),Minimum Temprature (in C),Maximum Temprature (in C)
3/10/2019,8861,24.66,35.53
3/11/2019,8838,24.78,35.54
3/12/2019,8910,23.96,35.83
3/13/2019,8880,23.61,36.43
3/14/2019,8724,22.89,36.54
3/15/2019,8714,23.21,37.24
3/16/2019,8635,22.71,36.97
3/17/2019,8465,22.81,35.32
3/18/2019,8665,22.47,35.18
3/19/2019,8825,23.48,35
3/20/2019,8879,24.47,35.5
3/21/2019,8518,24.82,35.68
3/22/2019,8984,24.52,35.75
3/23/2019,8877,24.86,35.96
3/24/2019,8725,25.33,36.83
3/25/2019,8840,24.82,36.71
3/26/2019,8885,24.49,36.59
3/27/2019,8925,24.22,36.57
3/28/2019,8977,24.53,37.01
3/29/2019,8966,25.26,37.27
3/30/2019,8961,25.57,37.19
3/31/2019,8695,25.44,37.73
4/1/2019,8839,26.16,38.55
4/2/2019,8907,25.72,38.03
4/3/2019,8833,25.66,37.68
4/4/2019,8717,25.29,37.06
4/5/2019,8862,25.41,36.87
4/6/2019,8609,25.89,37.63
4/7/2019,8296,25.45,37.82
4/8/2019,8760,26.16,37.66
4/9/2019,8834,26.56,37.58
4/10/2019,8943,26.83,37.44
4/11/2019,8552,25.68,37.96
4/12/2019,8918,25.91,38.01
4/13/2019,8946,26.04,37.99
4/14/2019,8572,26.12,38.73
4/15/2019,8685,25.63,38.89
4/16/2019,8920,25.38,39.04
4/17/2019,8999,25.81,38.83
4/18/2019,9130,26.87,38.11
4/19/2019,8945,26.1,37.74
4/20/2019,9023,27.51,37.56
4/21/2019,8227,26.12,37.63
4/22/2019,8354,26.76,38.19
4/23/2019,8496,24.88,37.61
4/24/2019,8616,25.83,37.72
4/25/2019,8724,26.03,38.01
4/26/2019,8878,26.89,38.65
4/27/2019,8997,27.53,38.75
4/28/2019,8801,27.49,39.03
4/29/2019,9160,28.04,38.49
4/30/2019,9001,27.71,38.46
5/1/2019,8070,27.26,38.32
5/2/2019,7700,26.57,36.89
5/3/2019,8322,27.64,37.2
5/4/2019,8986,27.86,40.22
5/5/2019,8902,28.12,40.47
5/6/2019,9306,28.69,41.02
5/7/2019,9474,28.94,40.51
5/8/2019,9382,29.33,39.92
5/9/2019,9601,29.22,40.23
5/10/2019,9802,28.88,40.75
5/11/2019,9854,29.47,40.36
5/12/2019,9396,28.44,39.43
5/13/2019,9012,28.62,38.81
5/14/2019,9459,28.44,38.5
5/15/2019,9351,28.81,39.43
5/16/2019,9432,28.17,39.08
5/17/2019,9272,28.65,38.79
5/18/2019,9678,28.24,39.13
5/19/2019,9500,28.62,40.21
5/20/2019,9485,28.48,39.92
5/21/2019,9550,28.41,39.34
5/22/2019,9688,28.04,39.56
5/23/2019,9550,28.59,39.04
5/24/2019,9675,28.26,38.83
5/25/2019,9605,28.57,39.24
5/26/2019,9508,29.58,40.23
5/27/2019,9725,28.41,40.97
5/28/2019,9700,28.82,39.62
5/29/2019,9622,29.27,39.94
5/30/2019,9026,26.57,39.32
5/31/2019,9500,28.79,37.51
6/1/2019,9394,28.68,38.85
6/2/2019,9382,29.53,39.31
6/3/2019,7900,28.06,39.52
6/4/2019,8907,27.25,37.88
6/5/2019,9350,29.04,37.84
6/6/2019,8754,28.92,39.24
6/7/2019,9108,26.96,38.31
6/8/2019,9079,27.87,38.11
6/9/2019,9355,28.7,38.52
6/10/2019,8459,28.38,39.45
6/11/2019,9050,28.39,37.82
6/12/2019,9278,28.81,39.71
6/13/2019,9499,29.32,40.12
6/14/2019,9193,29.2,38.72
6/15/2019,9575,29.38,39.65
6/16/2019,9435,29.67,40.75
6/17/2019,9100,29.17,39.85
6/18/2019,9729,27.97,37.86
6/19/2019,10170,29.38,39.77
6/20/2019,9598,28.91,40.08
6/21/2019,9169,26.89,37.6
6/22/2019,8778,27.72,34.72
6/23/2019,8087,26.19,35.12
6/24/2019,8450,26.61,34.77
6/25/2019,8521,26.09,35.79
6/26/2019,8246,27.13,35.59
6/27/2019,8121,26.91,33.92
6/28/2019,8450,27.89,37.66
6/29/2019,8292,28.36,37.39
6/30/2019,8029,28.13,35.69
7/1/2019,7940,26.21,35.17
7/2/2019,8089,26.6,34.03
7/3/2019,8164,27.49,34.34
7/4/2019,8564,28.04,35.59
7/5/2019,8343,27.6,36.93
7/6/2019,8288,27.28,33.81
7/7/2019,8103,28.26,34.56
7/8/2019,8588,27.21,36.62
7/9/2019,9063,27.82,36.9
7/10/2019,8785,27.87,36.33
7/11/2019,8798,26.93,37.14
7/12/2019,9238,26.89,36.78
7/13/2019,8831,27.41,37.4
7/14/2019,7970,25.33,37.53
7/15/2019,8348,25.99,35.33
7/16/2019,8408,26.32,36.11
7/17/2019,8716,27.19,36.92
7/18/2019,8671,27.24,37.07
7/19/2019,7647,25.48,35.5
7/20/2019,7396,25.46,32.14
7/21/2019,7506,26.29,33.24
7/22/2019,7650,26.5,34.48
7/23/2019,7470,25.62,34.13
7/24/2019,7873,26.12,32.21
7/25/2019,7673,26.28,35.56
7/26/2019,7058,25.58,33.43
7/27/2019,6823,24.58,30.43
7/28/2019,6897,25.94,31.18
7/29/2019,6903,25.56,29.6
7/30/2019,7256,25.64,30.96
7/31/2019,7699,25.78,32.96
8/1/2019,7622,26.04,35.37
8/2/2019,6915,24.41,32.71
8/3/2019,6796,24.78,29.22
8/4/2019,6955,25.65,31.36
8/5/2019,7152,26.23,32.98
8/6/2019,6919,25.38,32.8
8/7/2019,6969,25.39,30.87
8/8/2019,6999,26.04,31.17
8/9/2019,7585,26.01,33.28
8/10/2019,7900,26.45,35.25
8/11/2019,8067,26.81,35.25
8/12/2019,8761,27.39,35.53
8/13/2019,8744,27.02,35.25
8/14/2019,8595,26.06,34.34
8/15/2019,8082,26.11,35.32
8/16/2019,8635,26.29,35.07
8/17/2019,7903,25.73,34.82
8/18/2019,7415,25.57,33.09
8/19/2019,7595,25.43,32.27
8/20/2019,7122,25.23,34.57
8/21/2019,7029,25.58,32.51
8/22/2019,6931,24.76,33.33
8/23/2019,7242,24.97,33.48
8/24/2019,7112,25.53,32.26
8/25/2019,7163,25.46,33.08
8/26/2019,7700,25.8,33.71
8/27/2019,8471,26.2,34.2
8/28/2019,8899,26.31,34.96
8/29/2019,9110,26.28,34.76
8/30/2019,8625,26.4,35.33
8/31/2019,8249,25.58,35.05
9/1/2019,7577,24.94,32.19
9/2/2019,7085,24.78,30.38
9/3/2019,7005,24.81,31.26
9/4/2019,7002,25.03,30.26
9/5/2019,7155,25.73,31.1
9/6/2019,7465,25.79,32.44
9/7/2019,7340,25.91,32.66
9/8/2019,7386,26.24,32.71
9/9/2019,8028,26.42,33.35
9/10/2019,8672,26.75,34.62
9/11/2019,8569,26.52,34.36
9/12/2019,8255,25.19,33.5
9/13/2019,8230,25.8,33.04
9/14/2019,8401,25.14,34.21
9/15/2019,7753,25.29,34.28
9/16/2019,7768,26.19,33.91
9/17/2019,7360,25.13,34.46
9/18/2019,7445,24.82,30.59
9/19/2019,7289,25.26,31.06
9/20/2019,7314,24.86,31.54
9/21/2019,7311,25.49,32.6
9/22/2019,7128,25.59,33.05
9/23/2019,7454,25.52,32.89
9/24/2019,7273,25.13,33.47
9/25/2019,7249,24.68,31.05
9/26/2019,6866,24.44,31.04
9/27/2019,7045,24.6,30.38
9/28/2019,6988,24.76,32.11
9/29/2019,7263,25.35,33.03
9/30/2019,7516,25.14,33.06
10/1/2019,7988,24.74,33.19
10/2/2019,7831,24.88,34.28
10/3/2019,7960,24.98,34.03
10/4/2019,7756,23.52,34.17
10/5/2019,7492,23.99,33.63
10/6/2019,7443,24.28,33.55
10/7/2019,7401,24.29,33.53
10/8/2019,6868,23.66,33.18
10/9/2019,6848,24.2,32.63
10/10/2019,7392,23.75,32.98
10/11/2019,7377,24.16,32.9
10/12/2019,7459,24.75,32.96
10/13/2019,7384,24.72,33.71
10/14/2019,7440,24.65,33.29
10/15/2019,7288,24.75,33.37
10/16/2019,7088,24.5,31.81
10/17/2019,7071,22.86,29.3
10/18/2019,7244,23.59,30.2
10/19/2019,7064,23.72,31.43
10/20/2019,6836,24.22,31.45
10/21/2019,7205,24.39,31.23
10/22/2019,6884,22.93,29.29
10/23/2019,6931,23.17,27.1
10/24/2019,7117,23.28,29.49
10/25/2019,7128,23.6,31.02
10/26/2019,7212,23.6,31.17
10/27/2019,6576,23.79,32.52
10/28/2019,7356,24.52,32.3
10/29/2019,7287,24.14,31.84
10/30/2019,6950,23.83,30.41
10/31/2019,7149,23.62,29.57
11/1/2019,7295,24.2,30.59
11/2/2019,7342,24.23,32.73
11/3/2019,7137,24.07,32.67
11/4/2019,7603,23.11,32.87
11/5/2019,7709,23.29,33.25
11/6/2019,7924,23.49,33.27
11/7/2019,7942,23.23,32.97
11/8/2019,7823,23.04,32.6
11/9/2019,7740,22.68,32.36
11/10/2019,7787,22.7,33.02
11/11/2019,8308,23,33.28
11/12/2019,8363,23.08,32.77
11/13/2019,8426,22.84,32.19
11/14/2019,8018,22.73,31.14
11/15/2019,7608,23.05,30.75
11/16/2019,7671,22.86,29.83
11/17/2019,8004,22.63,31.95
11/18/2019,8420,23.88,32.18
11/19/2019,8230,23.62,32.01
11/20/2019,7761,23.51,31.17
11/21/2019,7829,22.67,31.13
11/22/2019,7716,21.63,30.87
11/23/2019,8000,21.12,30.84
11/24/2019,8123,21.05,30.89
11/25/2019,8195,21.09,30.69
11/26/2019,8257,20.75,30.74
11/27/2019,8178,21.89,30.47
11/28/2019,7840,22.75,30.57
11/29/2019,7880,22.42,31.07
11/30/2019,8202,22.34,31.45
12/1/2019,7090,22.94,30.91
12/2/2019,7195,23.43,28.26
12/3/2019,7289,22.93,28.63
12/4/2019,7237,21.97,29.36
12/5/2019,7332,20.82,29.76
12/6/2019,7306,20.23,29.3
12/7/2019,7311,19.24,29.38
12/8/2019,7139,21.32,29.18
12/9/2019,7320,20.91,29.86
12/10/2019,7624,20.61,29.98
12/11/2019,7735,20.31,30.24
12/12/2019,7831,20.24,30.6
12/13/2019,7658,20.08,30.19
12/14/2019,7398,21.73,30.79
12/15/2019,7569,20.81,29.87
12/16/2019,7715,20.71,29.87
12/17/2019,7763,20.94,30.09
12/18/2019,7831,20.44,29.83
12/19/2019,8075,20.74,29.92
12/20/2019,8151,20.66,29.81
12/21/2019,8163,21.04,30.13
12/22/2019,8052,20.37,29.79
12/23/2019,8334,19.95,29.96
12/24/2019,8366,20.42,29.35
12/25/2019,8292,20.48,29.45
12/26/2019,9118,20.31,30.51
12/27/2019,8606,21.18,29.96
12/28/2019,8436,20.86,30.29
12/29/2019,8247,19.68,29.17
12/30/2019,8255,19.37,28.27
12/31/2019,8561,20.01,28.71
