Date,Peak Demand (in MW),Minimum Temprature (in C),Maximum Temprature (in C)
1/1/2019,7915,14.78,28.51
1/2/2019,7800,15.04,29.03
1/3/2019,7925,16.26,29.47
1/4/2019,8197,16.98,29.95
1/5/2019,7981,17.21,29.58
1/6/2019,7844,17.28,28.95
1/7/2019,8016,16.61,29.22
1/8/2019,8059,16.75,30.08
1/9/2019,8000,16.28,30.59
1/10/2019,8001,17.13,30.35
1/11/2019,8218,18.05,29.78
1/12/2019,8218,18.06,29.95
1/13/2019,8082,18.2,29.5
1/14/2019,8069,17.74,29.78
1/15/2019,7825,17.05,29.96
1/16/2019,7746,18.18,30.11
1/17/2019,7851,18.24,29.78
1/18/2019,8087,18.77,29.81
1/19/2019,8221,18.39,30.24
1/20/2019,8102,18.23,30.61
1/21/2019,8121,17.61,30.57
1/22/2019,8210,17.83,30.22
1/23/2019,8246,18.39,30.43
1/24/2019,8369,19.05,30.58
1/25/2019,8461,20.37,31.17
1/26/2019,8180,22.04,31.21
1/27/2019,7950,21.81,30.53
1/28/2019,7134,20.76,29.19
1/29/2019,6934,18.36,25.63
1/30/2019,7168,17.15,28.61
1/31/2019,7415,18.38,29.37
2/1/2019,7546,18.55,29.39
2/2/2019,7845,18.38,29.69
2/3/2019,7645,18.98,30.38
2/4/2019,7770,19.51,30.47
2/5/2019,8071,19.48,31.19
2/6/2019,8109,19.55,31.62
2/7/2019,8110,19.41,32.23
2/8/2019,8300,21.65,32.32
2/9/2019,8250,22.8,32.49
2/10/2019,7900,21.79,31.89
2/11/2019,7997,22.94,32.23
2/12/2019,8133,20.89,31.13
2/13/2019,8158,20.68,31.61
2/14/2019,8216,19.02,31.61
2/15/2019,8310,20.71,32.69
2/16/2019,8424,21.56,33.06
2/17/2019,8364,22.72,33.04
2/18/2019,8556,22.82,33.87
2/19/2019,8705,24,34.37
2/20/2019,8683,23.16,34.22
2/21/2019,8769,21.64,33.71
2/22/2019,8610,20.21,33.63
2/23/2019,8468,20.47,35.66
2/24/2019,8588,21.16,37.14
2/25/2019,8780,21.82,36.56
2/26/2019,8877,22.53,35.72
2/27/2019,8969,23.7,34.71
2/28/2019,8690,23.72,34.43
3/1/2019,8678,24.49,33.98
3/2/2019,8468,24.12,33.99
3/3/2019,8355,23.46,33.59
3/4/2019,8640,24.16,33.93
3/5/2019,8666,24.64,35.09
3/6/2019,8884,25.26,36.39
3/7/2019,8870,24.72,36.69
3/8/2019,8855,25.04,36.38
3/9/2019,8832,25.25,35.48
