Date,Peak Demand (in MW),Minimum Temprature (in C),Maximum Temprature (in C)
4/25/2018,8296,25.55,37.37
4/26/2018,8527,27.07,37.25
4/27/2018,8567,27.5,37.46
4/28/2018,8836,27.05,37.61
4/29/2018,8437,27.19,37.41
4/30/2018,8876,27.94,37.14
5/1/2018,7780,27.99,37.96
5/2/2018,8280,25.6,37.64
5/3/2018,7104,26.66,37.06
5/4/2018,7270,23.62,35.74
5/5/2018,7590,26.89,35.61
5/6/2018,7659,27.44,37.05
5/7/2018,8266,27.23,37.28
5/8/2018,8592,28.14,38.25
5/9/2018,8640,28.48,38.14
5/10/2018,8435,28.43,37.5
5/11/2018,8710,27.54,37.88
5/12/2018,8820,26.68,37.76
5/13/2018,8095,27.77,37.55
5/14/2018,8044,26.02,36.99
5/15/2018,8067,26.07,36.38
5/16/2018,8236,26.7,35.61
5/17/2018,8534,27.42,36.83
5/18/2018,8609,27.01,37.24
5/19/2018,8673,28.23,37.55
5/20/2018,8155,27.54,38.66
5/21/2018,8607,27.84,37.44
5/22/2018,8548,27.78,37.08
5/23/2018,8768,27.84,36.93
5/24/2018,8492,27.27,36.97
5/25/2018,8614,27.84,36.71
5/26/2018,8664,27.84,36.55
5/27/2018,8525,27.77,36.86
5/28/2018,8812,28.43,37.65
5/29/2018,9249,28.44,37.42
5/30/2018,9185,28.58,39.45
5/31/2018,8935,28.87,39.46
6/1/2018,8618,28.03,38.78
6/2/2018,7560,27.88,37.12
6/3/2018,7502,25.91,36.55
6/4/2018,8191,27.29,37.39
6/5/2018,8067,27.65,38.48
6/6/2018,7564,27.31,38.31
6/7/2018,7301,25.77,35.03
6/8/2018,6824,26.07,35.87
6/9/2018,6889,26.58,34.62
6/10/2018,6650,26.88,34.43
6/11/2018,6711,27.02,36.2
6/12/2018,6743,26.32,35.11
6/13/2018,7219,26.33,34.94
6/14/2018,7940,28.11,36.23
6/15/2018,8235,28.07,38.13
6/16/2018,7750,26.96,38.49
6/17/2018,7590,27.79,37.69
6/18/2018,7835,27.91,39.1
6/19/2018,8819,27.47,38.67
6/20/2018,9188,27.87,38.75
6/21/2018,8796,28.24,38.77
6/22/2018,8233,27.09,37.55
6/23/2018,8077,26.99,34.37
6/24/2018,7838,27.01,34.91
6/25/2018,7958,26.89,36.55
6/26/2018,7965,27.38,37.45
6/27/2018,7691,26.08,36.92
6/28/2018,7286,24.83,33.65
6/29/2018,7861,26.24,31.86
6/30/2018,7600,26,34.07
7/1/2018,7034,25.23,35.06
7/2/2018,7309,26.16,32.13
7/3/2018,6940,24.43,35.93
7/4/2018,7140,26.03,33.25
7/5/2018,7205,26.79,34.67
7/6/2018,7337,26.33,35.77
7/7/2018,6984,25.46,34.09
7/8/2018,6593,25.02,32.27
7/9/2018,6858,25.77,31.4
7/10/2018,6851,24.89,32.76
7/11/2018,6647,24.77,32.26
7/12/2018,6524,24.53,32.03
7/13/2018,6729,24.95,30.55
7/14/2018,6760,25.62,32.24
7/15/2018,6430,25.11,31.89
7/16/2018,6804,26.09,30.96
7/17/2018,7159,26.13,33.32
7/18/2018,7451,26.55,34.88
7/19/2018,7803,27.12,35.3
7/20/2018,7579,26.58,34.38
7/21/2018,7425,26.03,31.49
7/22/2018,7347,26.68,32.61
7/23/2018,7800,27.09,33.88
7/24/2018,8148,27.03,35.57
7/25/2018,8000,27.05,35.91
7/26/2018,8273,27.26,35.48
7/27/2018,8244,26.69,35.65
7/28/2018,8250,27.17,34.59
7/29/2018,8163,27.18,34.77
7/30/2018,8525,27.13,35.55
7/31/2018,8550,27.45,35.94
8/1/2018,8661,26.87,35.72
8/2/2018,8356,25.59,35.8
8/3/2018,8392,25.89,35.65
8/4/2018,8710,26.67,35.75
8/5/2018,8064,26.63,36.22
8/6/2018,7943,26.64,35.42
8/7/2018,7835,26.01,34.47
8/8/2018,8127,25.16,31.92
8/9/2018,8002,25.3,32.94
8/10/2018,7862,25.67,34.86
8/11/2018,6917,24.47,30.74
8/12/2018,6746,25.19,30.72
8/13/2018,6997,24.73,30.71
8/14/2018,7152,24.29,29.66
8/15/2018,6805,25.06,30.5
8/16/2018,6522,24.89,28.94
8/17/2018,6820,25.28,31.19
8/18/2018,7124,25.44,33.87
8/19/2018,7039,25.77,32.72
8/20/2018,6884,24.77,30.87
8/21/2018,7162,25.21,30.55
8/22/2018,7786,25.74,34.31
8/23/2018,8350,26.92,34.98
8/24/2018,8019,26.73,35.06
8/25/2018,7939,26.2,33.1
8/26/2018,7784,26.04,33.46
8/27/2018,7841,24.87,32.51
8/28/2018,7963,25.2,32.5
8/29/2018,7986,24.83,33.37
8/30/2018,8412,25.99,34.15
8/31/2018,8322,26.21,35.07
9/1/2018,8134,25.56,34.62
9/2/2018,8200,25.75,33.47
9/3/2018,8706,25.77,34.53
9/4/2018,8832,26.05,35.13
9/5/2018,8637,26.1,35.41
9/6/2018,8534,26.14,34.58
9/7/2018,8682,26.08,34.01
9/8/2018,7386,25.43,33.8
9/9/2018,9346,25.8,35.04
9/10/2018,9416,26.43,35.49
9/11/2018,9227,26.32,34.63
9/12/2018,8521,25.82,35.79
9/13/2018,8329,26.45,34.73
9/14/2018,8497,26.02,34.97
9/15/2018,8578,25.59,35.57
9/16/2018,8167,25.74,36.34
9/17/2018,7331,24,35.13
9/18/2018,7170,23.92,31.67
9/19/2018,7309,24.04,32.79
9/20/2018,7192,25.19,32.71
9/21/2018,6969,24.49,30.61
9/22/2018,7055,23.29,32.35
9/23/2018,7616,25.31,33.05
9/24/2018,7935,25.49,33.59
9/25/2018,8439,25.41,33.67
9/26/2018,8056,25.05,34.45
9/27/2018,7846,25.02,34.47
9/28/2018,7985,25.65,34.09
9/29/2018,7982,25.51,34.23
9/30/2018,8443,25.92,34.43
10/1/2018,8558,26.12,35.17
10/2/2018,8601,25.95,34.85
10/3/2018,8666,26,35.06
10/4/2018,8277,25.79,35.18
10/5/2018,7912,25.08,34.03
10/6/2018,8023,24.95,33.64
10/7/2018,8214,24.87,34.34
10/8/2018,8562,24.88,34.34
10/9/2018,8622,24.67,34.75
10/10/2018,8804,24.55,35.65
10/11/2018,8560,24.39,34.19
10/12/2018,8941,24.77,34.3
10/13/2018,8790,25.97,35.34
10/14/2018,9453,26.08,35.43
10/15/2018,9245,25.85,35.12
10/16/2018,9119,25.54,33.83
10/17/2018,8642,25.22,33.45
10/18/2018,7604,24.31,32.36
10/19/2018,7495,23.61,31.48
10/20/2018,7959,23.2,33.29
10/21/2018,8089,23.89,33.57
10/22/2018,8618,23.43,34
10/23/2018,9156,23.64,34.13
10/24/2018,9114,23.42,34.07
10/25/2018,9000,23.85,34
10/26/2018,8763,23.65,34.02
10/27/2018,8633,21.56,33.73
10/28/2018,8874,21.68,33.71
10/29/2018,9036,22.14,33.25
10/30/2018,8915,23.23,33.76
10/31/2018,9116,24.12,33.29
11/1/2018,8761,23.93,32.21
11/2/2018,8324,23.98,30.48
11/3/2018,8340,24.62,32.11
11/4/2018,8460,24.55,32.73
11/5/2018,8751,24.77,33.09
11/6/2018,9056,24.39,33.66
11/7/2018,8513,23.44,33.48
11/8/2018,8678,22.39,33.01
11/9/2018,8669,23.13,32.85
11/10/2018,8712,23.05,32.85
11/11/2018,8813,22.89,33.12
11/12/2018,8686,22.07,32.72
11/13/2018,8672,20.61,32.06
11/14/2018,8732,20.71,33.27
11/15/2018,8406,22.61,33.49
11/16/2018,8129,24.35,32.05
11/17/2018,8100,24.07,32.04
11/18/2018,7895,24.7,32.27
11/19/2018,8263,24.71,32.75
11/20/2018,8199,24.11,33.19
11/21/2018,8022,23.45,32.54
11/22/2018,7553,23.17,30.35
11/23/2018,7663,22.6,28.45
11/24/2018,7684,22.23,30.67
11/25/2018,7571,20.8,31.67
11/26/2018,7753,19.85,31.29
11/27/2018,7764,19.36,30.95
11/28/2018,8018,19.73,30.77
11/29/2018,8104,21.14,31.12
11/30/2018,8137,21.24,31.05
12/1/2018,8010,21.38,31.1
12/2/2018,7846,20.57,30.96
12/3/2018,7777,21.27,30.34
12/4/2018,7801,22.55,30.8
12/5/2018,7718,22.63,28.44
12/6/2018,7806,23.44,29.68
12/7/2018,7873,23.06,30.99
12/8/2018,7804,23.01,30.96
12/9/2018,7745,22.5,30.93
12/10/2018,7992,21.76,30.78
12/11/2018,8013,21.84,30.37
12/12/2018,8082,21.75,30.77
12/13/2018,8100,21.89,31.14
12/14/2018,8026,21.76,30.81
12/15/2018,7962,21.62,30.79
12/16/2018,7653,21.62,29.8
12/17/2018,6226,19.07,25.9
12/18/2018,6868,18.89,25.6
12/19/2018,7106,19.1,26.15
12/20/2018,7291,19.43,27.39
12/21/2018,7522,20.27,28.83
12/22/2018,7507,20.36,29.05
12/23/2018,7415,20.86,29.51
12/24/2018,7712,19.86,28.99
12/25/2018,7854,20.19,29.59
12/26/2018,7865,20.25,30.14
12/27/2018,8073,20.76,29.93
12/28/2018,7958,21.47,29.99
12/29/2018,8190,18.83,29.41
12/30/2018,7771,18.11,28.42
12/31/2018,8005,16.53,28
