Date,Peak Demand (in MW),Minimum Temprature (in C),Maximum Temprature (in C)
1/1/2018,8193,20.45,30.82
1/2/2018,8392,19.87,30.81
1/3/2018,8278,19.46,30.36
1/4/2018,8238,18.68,30.41
1/6/2018,8232,17.08,29.55
1/7/2018,8250,16.93,29.69
1/8/2018,8140,17.21,29.62
1/9/2018,8288,18.32,29.08
1/10/2018,8267,18.84,28.81
1/11/2018,8428,19.79,30.02
1/12/2018,8411,20.69,30.81
1/13/2018,8558,20.6,31.64
1/14/2018,8339,20.71,31.42
1/15/2018,8128,19.68,31.16
1/16/2018,7880,20.08,31
1/17/2018,8402,19.4,30.92
1/18/2018,8147,18.07,30.49
1/19/2018,8384,17.76,30.36
1/20/2018,8234,17.71,29.91
1/21/2018,8116,17.21,29.91
1/22/2018,8270,16.91,29.83
1/23/2018,8439,17.78,29.48
1/24/2018,8553,18.55,29.91
1/25/2018,8545,18.97,30.54
1/26/2018,8432,19.23,31.51
1/27/2018,8500,19.16,30.66
1/28/2018,8335,19.24,30.74
1/29/2018,8474,19.19,30.36
1/30/2018,8515,18.75,30.34
1/31/2018,8516,17.69,30.42
2/1/2018,8516,16.84,31.99
2/2/2018,8227,16.79,33.28
2/3/2018,8471,17.06,32.84
2/4/2018,8410,16.45,31.74
2/5/2018,8350,17.07,31.21
2/6/2018,8350,18.89,31.02
2/7/2018,8650,19.52,31.64
2/8/2018,8166,21.52,31.02
2/9/2018,8219,21.03,32.32
2/10/2018,8216,22.12,32.21
2/11/2018,8299,21.81,32.11
2/12/2018,8429,21.68,30.56
2/13/2018,8260,20.86,31.39
2/14/2018,8591,19.98,31.18
2/15/2018,8415,19.33,31.54
2/16/2018,8354,19.32,31.95
2/17/2018,8667,20.16,32.29
2/18/2018,8703,19.82,32.28
2/19/2018,8637,20.09,32.49
2/20/2018,8625,19.88,32.09
2/21/2018,8627,19.48,32.11
2/22/2018,8626,19.64,32.68
2/23/2018,8824,19.96,33.37
2/24/2018,8982,18.81,32.83
2/25/2018,8573,18.61,32.98
2/26/2018,8705,18.1,34.19
2/27/2018,8763,19.24,35.16
2/28/2018,8909,19.82,34.79
3/1/2018,8814,20.28,35.16
3/2/2018,8483,20.79,35.52
3/3/2018,8791,20.23,35.73
3/4/2018,8633,20.98,36.01
3/5/2018,8733,20.37,35.71
3/6/2018,8865,20,34.99
3/7/2018,8769,20.73,34.86
3/8/2018,8769,20.54,34.49
3/9/2018,8815,21.68,34.64
3/10/2018,8617,21.83,34.01
3/11/2018,8468,22.34,34.92
3/12/2018,8797,22.48,34.36
3/13/2018,8800,22.87,34.37
3/14/2018,8775,23.69,35.42
3/15/2018,8960,24.56,35.19
3/16/2018,8983,25.11,35.03
3/17/2018,7482,23.51,34.41
3/18/2018,7482,22.58,31.93
3/19/2018,7734,22.48,34.56
3/20/2018,8232,23.09,35.23
3/21/2018,8383,23.86,35.04
3/22/2018,8424,24.99,36.08
3/23/2018,8741,25.55,36.44
3/24/2018,8730,26.04,37
3/25/2018,8472,25.15,35.71
3/26/2018,8817,24.07,34.76
3/27/2018,8853,24.26,35
3/28/2018,8844,24.79,35.68
3/29/2018,8907,26.19,36.25
3/30/2018,8852,26.18,36.3
3/31/2018,8379,26.29,36.13
4/1/2018,8268,25.87,35.7
4/2/2018,7949,24,35.64
4/3/2018,8022,25.59,34.63
4/4/2018,8079,25.32,35.59
4/5/2018,8156,24.46,35.65
4/6/2018,8252,25.15,35.52
4/7/2018,8341,25.16,35.9
4/8/2018,7640,24.41,36.01
4/9/2018,8360,24.69,35.37
4/10/2018,8450,24.07,35.18
4/11/2018,8407,24.58,35.31
4/12/2018,8488,25.53,36
4/13/2018,8470,25.47,36.37
4/14/2018,8617,26.39,36.41
4/15/2018,8579,27.01,37.02
4/16/2018,8945,26.95,36.97
4/17/2018,8785,26.8,37.83
4/18/2018,8790,26.66,37.44
4/19/2018,8881,26.64,37.91
4/20/2018,8777,27.69,38.33
4/21/2018,8890,27.57,37.93
4/22/2018,8506,27.55,37.88
4/23/2018,8770,26.89,37.77
4/24/2018,8442,27.88,37.73
