Date,Peak Demand (in MW),Minimum Temprature (in C),Maximum Temprature (in C)
1/1/2020,8657,20.71,29.23
1/2/2020,8414,21.98,29.81
1/3/2020,8433,21.97,29.02
1/4/2020,8004,22.58,30.83
1/5/2020,8042,22.44,29.66
1/6/2020,7842,22.33,28.69
1/7/2020,7668,21.88,28.52
1/8/2020,7990,20.78,29.25
1/9/2020,8193,19.95,29.84
1/10/2020,8521,20.39,30.32
1/11/2020,8372,20.59,29.63
1/12/2020,8624,19.91,29.5
1/13/2020,8832,18.46,29.41
1/14/2020,8700,18.71,30.18
1/15/2020,8230,18.06,30.14
1/16/2020,8085,18.72,29.94
1/17/2020,8597,19.44,30.57
1/18/2020,8441,21.34,30.86
1/19/2020,8814,21.31,30.14
1/20/2020,8978,20.58,31.17
1/21/2020,8987,20.38,31.43
1/22/2020,9017,20.41,30.91
1/23/2020,9169,20.4,30.92
1/24/2020,8968,19.66,31.27
1/25/2020,9052,19.54,31.64
1/26/2020,8914,19.53,31.29
1/27/2020,9068,20.26,32.02
1/28/2020,9371,21.05,32.68
1/29/2020,9245,22.14,32.37
1/30/2020,9605,22.15,32.51
1/31/2020,9480,21.94,32.85
2/1/2020,9299,21.99,32.6
2/2/2020,9112,21.59,31.68
2/3/2020,9225,20.6,31.27
2/4/2020,8953,20.97,31.61
2/5/2020,9268,21.24,30.68
2/6/2020,9336,20.6,32.19
2/7/2020,9304,21.7,32.26
2/8/2020,9226,22.15,32.01
2/9/2020,9077,22.31,31.87
2/10/2020,9130,21.17,30.26
2/11/2020,9057,21.26,29.59
2/12/2020,9117,21.23,30.81
2/13/2020,9213,20.55,31.27
2/14/2020,9298,19.98,32.22
2/15/2020,9260,19.66,33.95
2/16/2020,9496,20.23,33.66
2/17/2020,9708,19.77,33.47
2/18/2020,9562,20.23,32.93
2/19/2020,9817,21.26,32.69
2/20/2020,9754,20.47,32.21
2/21/2020,9936,20.23,31.97
2/22/2020,9616,20.02,32.17
2/23/2020,9580,20.44,32.63
2/24/2020,9661,21.36,32.62
2/25/2020,9941,22.04,32.97
2/26/2020,9914,22.63,33.38
2/27/2020,9954,23.01,32.8
2/28/2020,9778,22.36,32.63
2/29/2020,9818,22.04,32.49
3/1/2020,9762,22.24,32.84
3/2/2020,9750,22.59,32.94
3/3/2020,9903,21.93,33.14
3/4/2020,10005,23.18,33.96
3/5/2020,9982,23.21,34.21
3/6/2020,9790,24.39,33.9
3/7/2020,8950,24.92,33.16
3/8/2020,8760,24.31,32.6
3/9/2020,9136,23.38,33.31
3/10/2020,9112,23.43,33.63
3/11/2020,9496,23.91,34.33
3/12/2020,9694,24.12,34.33
3/13/2020,9589,24.07,34.91
3/14/2020,9809,22.76,34.92
3/15/2020,9527,22.91,34.63
3/16/2020,9967,23.13,34.15
3/17/2020,9980,23.44,34.67
3/18/2020,10207,23.15,35.31
3/19/2020,10201,23.99,36.14
3/20/2020,9896,24.56,36.61
3/21/2020,9810,24.14,35.22
3/22/2020,8514,24.59,35.53
3/23/2020,9317,24.5,35.54
3/24/2020,8784,23.63,35.11
3/25/2020,8220,24.09,35.39
3/26/2020,8217,23.84,35.46
3/27/2020,8095,23.65,35.97
3/28/2020,8138,22.91,36.48
3/29/2020,8244,24.25,37.14
3/30/2020,8200,24.05,37.78
3/31/2020,8296,24.09,37.25
4/1/2020,8321,24.26,37.64
4/2/2020,8479,25.49,38.13
4/3/2020,8424,25.47,37.71
4/4/2020,8222,24.78,36.86
4/5/2020,8189,25.33,36.31
4/6/2020,8595,26.64,37.11
4/7/2020,8312,26.67,37.24
4/8/2020,8095,26.28,36.68
4/9/2020,6391,25.41,37.08
4/10/2020,6831,22.62,34.13
4/11/2020,7345,24.79,35.82
4/12/2020,7540,24.74,36.34
4/13/2020,7724,24.69,37.04
4/14/2020,7862,24.68,37.94
4/15/2020,8025,24.87,36.87
4/16/2020,8204,25.12,37.02
4/17/2020,8400,26.09,37.06
4/18/2020,8332,26.73,37.48
4/19/2020,8281,26.65,37.29
4/20/2020,8455,26.13,37.01
4/21/2020,8416,25.71,37.11
4/22/2020,8387,26.84,37.31
4/23/2020,8484,27.17,37.68
4/24/2020,8410,28,37.89
4/25/2020,8165,27.88,37.92
4/26/2020,7579,25.48,37.76
4/27/2020,7383,26.24,37.68
4/28/2020,7649,26.54,36.4
4/29/2020,6866,25.16,36.47
4/30/2020,7191,25.81,35.89
5/1/2020,7537,27.27,37.25
5/2/2020,7838,26.62,38.33
5/3/2020,8260,27.67,37.73
5/4/2020,8414,27.51,38.49
5/5/2020,8533,28.03,38.55
5/6/2020,8702,27.77,38.34
5/7/2020,8762,27.61,38.3
5/8/2020,8884,27.45,38.25
5/9/2020,9123,27.81,38.25
5/10/2020,8750,27.09,38.78
5/11/2020,9100,27.64,38.36
5/12/2020,8890,26.86,37.6
5/13/2020,9075,26.56,37.66
5/14/2020,8620,27.42,37.87
5/15/2020,9071,26.75,38.04
5/16/2020,9506,27.71,38.23
5/17/2020,9055,27.75,38.16
5/18/2020,8618,27.52,38.42
5/19/2020,7789,26.58,38.14
5/20/2020,8890,27.75,38.85
5/21/2020,9649,28.72,40.61
5/22/2020,10060,28.53,42.28
5/23/2020,10029,28.74,41.6
5/24/2020,9870,29.14,40.51
5/25/2020,9955,29.02,39.36
5/26/2020,10071,28.61,38.94
5/27/2020,10101,29.06,38.84
5/28/2020,10062,29.04,39.19
5/29/2020,9880,29.46,39.85
5/30/2020,9188,27.39,40.18
5/31/2020,9317,28.6,38.32
6/1/2020,8926,27.94,38.28
6/2/2020,8676,27.18,37.05
6/3/2020,8712,26.89,36.79
6/4/2020,8227,28.26,36.52
6/5/2020,8987,27.91,37.19
6/6/2020,9423,28.07,37.63
6/7/2020,9046,28.39,38.86
6/8/2020,9096,28.33,38.46
6/9/2020,9237,28.24,37.97
6/10/2020,8525,26.97,37.52
6/11/2020,6623,24.59,35.03
6/12/2020,6365,25.04,30.45
6/13/2020,7283,25.85,31.1
6/14/2020,7406,27.35,35.43
6/15/2020,8170,27.33,36.65
6/16/2020,7980,27.06,36.18
6/17/2020,7762,26.81,35.16
6/18/2020,7821,26.47,34.51
6/19/2020,7562,26.68,34.4
6/20/2020,8353,27.47,36.64
6/21/2020,7767,27.44,36.96
6/22/2020,8278,26.55,34.42
6/23/2020,8640,26.25,36.11
6/24/2020,8812,26.76,36.81
6/25/2020,8270,26.27,36.49
6/26/2020,8470,26.55,35.54
6/27/2020,8336,27.23,34.93
6/28/2020,7842,26.93,35.39
6/29/2020,8202,26.63,34.93
6/30/2020,7472,26.05,34.89
7/1/2020,7434,25.32,34.68
7/2/2020,7342,25.97,34.02
7/3/2020,7200,25.37,34.24
7/4/2020,6675,25.25,33.91
7/5/2020,6433,24.79,32.26
7/6/2020,6986,24.95,31.61
7/7/2020,7812,25.85,32.27
7/8/2020,8500,25.62,35.83
7/9/2020,7190,24.07,35.48
7/10/2020,7178,24.93,33.26
7/11/2020,7352,24.57,32.68
7/12/2020,7090,25.07,34.39
7/13/2020,7301,24.6,34.28
7/14/2020,6879,24.58,33.37
7/15/2020,6439,24.17,31.43
7/16/2020,6619,24.16,29.04
7/17/2020,6792,24.61,30.89
7/18/2020,7016,24.67,33.23
7/19/2020,6934,25.41,33.54
7/20/2020,7050,24.92,33.02
7/21/2020,7286,25.07,34.22
7/22/2020,7454,26.1,34.14
7/23/2020,7292,25.62,34.38
7/24/2020,7049,24.49,31.06
7/25/2020,6992,24.62,32.72
7/26/2020,6932,24.65,32.73
7/27/2020,7498,25.21,33.97
7/28/2020,8296,26.12,34.6
7/29/2020,7954,24.8,34.3
7/30/2020,7960,25.1,33.13
7/31/2020,8074,25.8,34.21
8/1/2020,7320,25.44,33.9
8/2/2020,7278,25.37,33.27
8/3/2020,7220,25.5,34.19
8/4/2020,6894,24.96,32.52
8/5/2020,6646,25.04,30.83
8/6/2020,7337,25.73,30.48
8/7/2020,7978,26.8,33.51
8/8/2020,8332,27.03,33.84
8/9/2020,8045,26.87,34.81
8/10/2020,7239,24.72,31.76
8/11/2020,7712,25.01,30.96
8/12/2020,7623,24.99,33.34
8/13/2020,7479,24.86,30.14
8/14/2020,7511,24.19,29.53
8/15/2020,7189,23.84,28.88
8/16/2020,6833,24.24,27.59
8/17/2020,7175,24.62,28.97
8/18/2020,7800,25.2,31.57
8/19/2020,7945,25.48,33.34
8/20/2020,7946,25.22,31.56
8/21/2020,7770,25.03,29.53
8/22/2020,7869,25.16,32.84
8/23/2020,7605,25.47,32.69
8/24/2020,7652,25.23,32.17
8/25/2020,8051,25.71,32.87
8/26/2020,7967,25.81,33.58
8/27/2020,7805,25.35,32.23
8/28/2020,8292,25.3,32.27
8/29/2020,8730,25.92,33.86
8/30/2020,8892,26.18,34.55
8/31/2020,8717,25.59,35.09
9/1/2020,8420,26.84,34.98
9/2/2020,8091,25.1,34.67
9/3/2020,8045,25.18,32.53
9/4/2020,8266,25.87,33.68
9/5/2020,8600,25.9,33.76
9/6/2020,8782,26.17,34.41
9/7/2020,9523,26.42,34.83
9/8/2020,9060,25.95,35.11
9/9/2020,9103,26.48,34.88
9/10/2020,9043,26.19,34.97
9/11/2020,8610,25.71,34.42
9/12/2020,8140,25.36,32.58
