Date,Peak Demand (in MW),Minimum Temprature (in C),Maximum Temprature (in C)
9/13/2020,6640,24.51,32.04
9/14/2020,6927,24.25,29.59
9/15/2020,7247,24.81,29.53
9/16/2020,7228,24.88,31.51
9/17/2020,7170,25.65,32.05
9/18/2020,7391,25.49,33.04
9/19/2020,6608,24.36,33.48
9/20/2020,6574,25.34,30.38
9/21/2020,7050,24.73,30.56
9/22/2020,7237,25.42,30.61
9/23/2020,7662,25.09,32.15
9/24/2020,8260,25.67,33.52
9/25/2020,8555,26.11,34.27
9/26/2020,7015,23.83,33.96
9/27/2020,7122,24.32,28.02
9/28/2020,7490,24.77,31.35
9/29/2020,7954,25.66,33.64
9/30/2020,7088,24.14,32.65
10/1/2020,7286,23.85,30.18
10/2/2020,7224,24.5,31.2
10/3/2020,7346,25.99,32.71
10/4/2020,7131,25.81,32.93
10/5/2020,7780,25.26,31.31
10/6/2020,8176,25.04,32.91
10/7/2020,8110,25.31,33.69
10/8/2020,8450,25.21,32.82
10/9/2020,8387,25.46,32.98
10/10/2020,7707,25.61,33.81
10/11/2020,6511,24.22,31.43
10/12/2020,7129,23.77,28.47
10/13/2020,7127,24.25,29.41
10/14/2020,7192,24.03,30.49
10/15/2020,7482,24.36,31.72
10/16/2020,7547,24.91,32.01
10/17/2020,7505,24.89,32.56
10/18/2020,7396,24.97,32.29
10/19/2020,7324,24.93,32.19
10/20/2020,7453,24.61,32.84
10/21/2020,7395,24.61,30.42
10/22/2020,7442,24.91,29.79
10/23/2020,7470,24.86,32.19
10/24/2020,7450,24.14,33.17
10/25/2020,7171,24.31,33.51
10/26/2020,7558,23.99,33.47
10/27/2020,8097,23.66,33.22
10/28/2020,8003,23.56,32.99
10/29/2020,8128,23.52,32.23
10/30/2020,8315,23.05,31.58
10/31/2020,8820,22.62,33.19
11/1/2020,8660,23.02,33.52
11/2/2020,9338,23.43,34.03
11/3/2020,9490,24.22,33.99
11/4/2020,9022,24.45,33.51
11/5/2020,8951,23.59,32.95
11/6/2020,8368,23.71,32.68
11/7/2020,8107,23.91,32.23
11/8/2020,7908,23.17,31.53
11/9/2020,8256,20.92,31.54
11/10/2020,8350,18.72,31.24
11/11/2020,8618,20.51,30.91
11/12/2020,7833,23.07,29.98
11/13/2020,7560,22.7,28.29
11/14/2020,7465,22.29,31
11/15/2020,7370,22.45,31.89
11/16/2020,7314,23.36,29.56
11/17/2020,7414,22.93,29.49
11/18/2020,7516,22.84,31.15
11/19/2020,7772,23.01,31.73
11/20/2020,7940,22.09,32.2
11/21/2020,7933,20.89,31.8
11/22/2020,8192,21.62,32.59
11/23/2020,8150,22.21,32.23
11/24/2020,7877,22.36,30.29
11/25/2020,7522,21.33,29.97
11/26/2020,5826,21.24,28.09
11/27/2020,6286,19.81,23.78
11/28/2020,6817,19.98,23.92
11/29/2020,6607,21.75,26.98
11/30/2020,6914,20.77,28.53
12/1/2020,7090,19.94,30.21
12/2/2020,7123,19.73,29.54
12/3/2020,7124,20.81,29.65
12/4/2020,7218,21.38,28.54
12/5/2020,7115,21.39,30.07
12/6/2020,6819,20.99,30.16
12/7/2020,7111,21.79,29.83
12/8/2020,7245,21.19,29.96
12/9/2020,7254,20.03,30.07
12/10/2020,7270,19.18,30.38
12/11/2020,7442,19.08,30.34
12/12/2020,7485,18.26,30.2
12/13/2020,7544,18.27,29.91
12/14/2020,7781,18.74,30.35
12/15/2020,7916,19.24,30.14
12/16/2020,8001,20.99,29.63
12/17/2020,7848,21.36,29.55
12/18/2020,8206,21,30
12/19/2020,8176,21.07,29.91
12/20/2020,7883,19.89,29.45
12/21/2020,8166,17.36,29.14
12/22/2020,8380,16.45,28.89
12/23/2020,8610,17,28.93
12/24/2020,8706,17.19,28.95
12/25/2020,8701,18.03,28.89
12/26/2020,8638,18.15,29.06
12/27/2020,8668,18.08,29.03
12/28/2020,8459,18.12,29.21
12/29/2020,8601,18.38,29.71
12/30/2020,8885,19.68,29.42
12/31/2020,8934,20.82,29.28
