Date,Peak Demand (in MW),Minimum Temprature (in C),Maximum Temprature (in C)
4/8/2021,10810,25.61,35.9
4/9/2021,10520,25.41,36.06
4/10/2021,10521,24.87,35.54
4/11/2021,10659,25.47,35.22
4/12/2021,10748,25.85,35.95
4/13/2021,10286,25.57,36.37
4/14/2021,10544,26.1,36.37
4/15/2021,8900,24.25,36.61
4/16/2021,8900,24.88,34.29
4/17/2021,9757,26.13,35.96
4/18/2021,9757,26.89,36.46
4/19/2021,10351,26.86,36.77
4/20/2021,10332,27.4,37.43
4/21/2021,10332,27.16,36.77
4/22/2021,10027,27.37,36.57
4/23/2021,10011,26.66,36.49
4/24/2021,9473,25.26,36.19
4/25/2021,9340,26.41,36.6
4/26/2021,10015,26.45,37.11
4/27/2021,10085,26.69,36.45
4/28/2021,10316,26.55,36.75
4/29/2021,10211,27.15,37.29
4/30/2021,10076,26.35,36.83
5/1/2021,9275,26.34,36.64
5/2/2021,9715,26.57,36.23
5/3/2021,9892,26.38,36.77
5/4/2021,10200,26.75,36.57
5/5/2021,9996,26.4,36.93
5/6/2021,9845,27.08,37.04
5/7/2021,9967,27.57,36.64
5/8/2021,9836,27.31,36.93
5/9/2021,9940,27.32,37.14
5/10/2021,10252,27.61,37.2
5/11/2021,10390,28.34,37.56
5/12/2021,8906,24.88,38.26
5/13/2021,9365,27.86,37.19
5/14/2021,8938,27.66,37.24
5/15/2021,8769,28.26,37.3
5/16/2021,8316,27.44,36.3
5/17/2021,9123,27.66,35.39
5/18/2021,9289,28.04,36.63
5/19/2021,9663,28.07,37.09
5/20/2021,8927,27.29,37.19
5/21/2021,8637,26.96,37.35
5/22/2021,7490,25.09,37.04
5/23/2021,7785,25.68,34.19
5/24/2021,7851,26.64,35.59
5/25/2021,7902,28.05,34.85
5/26/2021,8358,26.97,37.44
5/27/2021,8637,28.46,40
5/28/2021,9903,28.25,38.14
5/29/2021,10239,28.7,39.83
5/30/2021,10092,28.45,39.79
5/31/2021,10214,28.8,39.66
6/1/2021,10086,27.67,38.18
6/2/2021,9573,28.26,38.31
6/3/2021,7919,26.18,37.93
6/4/2021,8441,25.48,34.58
6/5/2021,8245,25.82,35.53
6/6/2021,8214,25.55,35.62
6/7/2021,8555,26.71,35.82
6/8/2021,8863,27.24,36.73
6/9/2021,9307,27.31,37.71
6/10/2021,8370,26.83,36.75
6/11/2021,8135,26.51,34.97
6/12/2021,7790,26.65,33.53
6/13/2021,7682,26.03,34.38
6/14/2021,8184,26.19,34.27
6/15/2021,8360,27.03,33.43
6/16/2021,8775,27.25,35.1
6/17/2021,8596,26.87,36.01
6/18/2021,8780,26.41,35.17
6/19/2021,8747,27.21,34.61
6/20/2021,9021,26.95,35.61
6/21/2021,9791,27.01,36.34
6/22/2021,10172,27.45,37.81
6/23/2021,9579,27.56,36.51
6/24/2021,9019,25.32,34.93
6/25/2021,9155,26.27,34.31
6/26/2021,9686,26.7,36.06
6/27/2021,8432,25.12,35.05
6/28/2021,9030,25.31,32.03
6/29/2021,9657,26.37,34.42
6/30/2021,9994,27.43,35.66
7/1/2021,9994,26.11,36.95
7/2/2021,8480,27.13,34.23
7/3/2021,8291,25.24,32.87
7/4/2021,8323,26.5,35.29
7/5/2021,8146,25.96,36.26
7/6/2021,8522,26.18,35.95
7/7/2021,8978,27.45,35.73
7/8/2021,7955,25.43,35.92
7/9/2021,7791,26.22,32.57
7/10/2021,7745,26.32,34.35
7/11/2021,7190,26.44,33.51
7/12/2021,7574,26.22,30.72
7/13/2021,7749,25.76,30.89
7/14/2021,7550,25.04,30.33
7/15/2021,7589,24.38,31.88
7/16/2021,7661,25.09,31.45
7/17/2021,7728,25.24,32.74
7/18/2021,7332,26.31,33.18
7/19/2021,7683,25.32,32.47
7/20/2021,7528,26.36,33.92
7/21/2021,7240,25.07,33.75
7/22/2021,6790,23.75,28.98
7/23/2021,7171,24.35,26.94
7/24/2021,7584,25.1,32.32
7/25/2021,7941,27.09,34.29
7/26/2021,8291,26.12,35.27
7/27/2021,8673,27.32,35.12
7/28/2021,9227,26.45,34.65
7/29/2021,9435,27.41,35.09
7/30/2021,9509,27.15,33.23
7/31/2021,9654,26.99,33.96
8/1/2021,9363,26.89,33.65
8/2/2021,10362,26.57,35.03
8/3/2021,10414,26.43,35.27
8/4/2021,10680,27.05,35.43
8/5/2021,10687,26.66,35.79
8/6/2021,10715,27.03,35.65
8/7/2021,11018,26.65,35.57
8/8/2021,10914,27.13,36.35
8/9/2021,10804,27.04,35.72
8/10/2021,9342,26.51,35.77
8/11/2021,10130,26.29,34.75
8/12/2021,10615,27.11,36.4
8/13/2021,9704,25.63,35.36
8/14/2021,9119,25.42,33.73
8/15/2021,9249,26.01,33.81
8/16/2021,9067,24.99,33.02
8/17/2021,8434,25.17,31.03
8/18/2021,8968,25.54,30.89
8/19/2021,9405,25.5,32.74
8/20/2021,9632,25.63,33.25
8/21/2021,9202,25.82,31.43
8/22/2021,8827,24.58,30.97
8/23/2021,9110,25.21,33.87
8/24/2021,9530,25.92,34.32
8/25/2021,9378,26.78,34.78
8/26/2021,9246,25.18,35.2
8/27/2021,9120,25.83,34.32
8/28/2021,8167,24.96,32.05
8/29/2021,8027,24.97,29.94
8/30/2021,8078,25.03,31.24
8/31/2021,8267,25,29.89
9/1/2021,8480,25.48,32.02
9/2/2021,8323,25.46,32.23
9/3/2021,8520,25.12,32.8
9/4/2021,8204,25.36,32.1
9/5/2021,8023,25.45,32.05
9/6/2021,7668,25.16,32.45
9/7/2021,7914,24.87,29.02
9/8/2021,8173,25.57,32.01
9/9/2021,8580,25.53,33.42
9/10/2021,8922,26.65,34.58
9/11/2021,8802,26.5,32.62
9/12/2021,9035,26.37,32.45
9/13/2021,9429,26.45,33.2
9/14/2021,9588,26.44,33.96
9/15/2021,10207,26.05,34.18
9/16/2021,10445,26.45,34.25
9/17/2021,10388,26.53,35.13
9/18/2021,10338,26.25,35.57
9/19/2021,10338,25.55,35.35
9/20/2021,10026,26.05,35.01
9/21/2021,9944,25.19,34.33
9/22/2021,9331,25.72,33.52
9/23/2021,9520,25.86,33.05
9/24/2021,9351,25.9,32.04
9/25/2021,9477,25.92,34.02
9/26/2021,8731,25.03,34.35
9/27/2021,7525,25.48,32.47
9/28/2021,8620,25.73,30
9/29/2021,8588,25.01,32.89
9/30/2021,8889,26.24,34.17
10/1/2021,8795,25.77,33.31
10/2/2021,8788,26.29,34.22
10/3/2021,9009,26.27,34.22
10/4/2021,9765,26,34.54
10/5/2021,9477,25.55,34.82
10/6/2021,8367,25.87,33.85
10/7/2021,8378,25.7,32.83
10/8/2021,8327,26.17,33.78
10/9/2021,8197,25.62,34.92
10/10/2021,8291,25.63,34.34
10/11/2021,8767,25.65,34.19
10/12/2021,9064,26.02,34.26
10/13/2021,9285,25.34,34.17
10/14/2021,9339,25.98,34.52
10/15/2021,8911,26.1,34.28
10/16/2021,8514,25.27,33.62
10/17/2021,8945,25.22,33.13
10/18/2021,9178,25.78,33.28
10/19/2021,9865,25.96,34.05
10/20/2021,9815,26.42,34.81
10/21/2021,9590,26.16,34.24
10/22/2021,9552,25.61,34.24
10/23/2021,9512,25.5,34.13
10/24/2021,8688,24.68,33.38
10/25/2021,8841,24.15,32.12
10/26/2021,9119,24.19,32.58
10/27/2021,9343,23.36,32.68
10/28/2021,9586,23.78,33.37
10/29/2021,8925,24.77,30.83
10/30/2021,8271,24.32,30.25
10/31/2021,7859,24.35,31.77
11/1/2021,7717,24.2,31.64
11/2/2021,7765,23.46,28.74
11/3/2021,7641,23.91,28.31
11/4/2021,7235,23.51,28.98
11/5/2021,7563,23.29,28.59
11/6/2021,7626,23.45,29.58
11/7/2021,7245,22.98,29.76
11/8/2021,7554,21.71,28.18
11/9/2021,7865,21.68,29.69
11/10/2021,7865,21.8,29.67
11/11/2021,7146,22.31,29.03
11/12/2021,7323,23.22,26.72
11/13/2021,7794,24.12,28.49
11/14/2021,7341,24.32,30.12
11/15/2021,7723,24.47,30.32
11/16/2021,7699,24.44,30.81
11/17/2021,7574,24.31,30.72
11/18/2021,7183,23.84,30.51
11/19/2021,7108,23.45,27.75
11/20/2021,7218,23.67,26.96
11/21/2021,7036,23.9,29.65
11/22/2021,7526,24.18,30.35
11/23/2021,7642,24.51,31.75
11/24/2021,7584,24.51,32.27
11/25/2021,7547,23.9,31.68
11/26/2021,7598,23.28,31.01
11/27/2021,7457,22.92,31.3
11/28/2021,6837,23.66,28.93
11/29/2021,7054,22.72,27
11/30/2021,7248,21.98,28.56
12/1/2021,7285,,
12/2/2021,7247,,
12/3/2021,7191,,
12/4/2021,7318,,
12/5/2021,7233,,
12/6/2021,7720,,
12/7/2021,7918,,
12/8/2021,7852,,
12/9/2021,7813,,
12/10/2021,7444,,
12/11/2021,7358,,
12/12/2021,7612,,
12/13/2021,7837,,
12/14/2021,7859,,
12/15/2021,8051,,
12/16/2021,8225,,
12/17/2021,8336,,
12/18/2021,8280,,
12/19/2021,8405,,
12/20/2021,8554,,
12/21/2021,8664,,
12/22/2021,8851,,
12/23/2021,8979,,
12/24/2021,9012,,
12/25/2021,9187,,
12/26/2021,9004,,
12/27/2021,9230,,
12/28/2021,9363,,
12/29/2021,9462,,
12/30/2021,9206,,
12/31/2021,9003,,
,,,
,,,
,,,
,,,
