Date,Peak Demand (in MW),Minimum Temprature (in C),Maximum Temprature (in C)
1/1/2021,8804,19.36,29.14
1/2/2021,8648,18.7,28.88
1/3/2021,8505,19.45,28.28
1/4/2021,8774,19.18,29
1/5/2021,8646,20.68,29.41
1/6/2021,8383,22.4,28.99
1/7/2021,7800,22.15,28.37
1/8/2021,7881,21.32,29.26
1/9/2021,7996,20.66,30.08
1/10/2021,8296,20.75,29.75
1/11/2021,8428,20.91,30.76
1/12/2021,8578,19.87,30.22
1/13/2021,8762,20.18,30.6
1/14/2021,8837,20.02,30.3
1/15/2021,8150,20.56,30.16
1/16/2021,8320,19.77,30.55
1/17/2021,8924,19.66,30.66
1/18/2021,8690,19.72,30.23
1/19/2021,8927,19.66,29.81
1/20/2021,9118,19.21,30.54
1/21/2021,9370,19.95,31.59
1/22/2021,9432,21.47,32.61
1/23/2021,9698,21.05,31.48
1/24/2021,9766,20.19,31.38
1/25/2021,9700,19.58,31.73
1/26/2021,9714,19.42,32.06
1/27/2021,9977,19.87,31.76
1/28/2021,9930,20.55,31.12
1/29/2021,9424,20.94,30.8
1/30/2021,9442,20.4,31.13
1/31/2021,9841,21.02,31.39
2/1/2021,9638,20.68,31.28
2/2/2021,9530,20.4,30.67
2/3/2021,9380,19.4,30.62
2/4/2021,10054,18.19,30.78
2/5/2021,9831,17.72,30.76
2/6/2021,9515,17.92,31.09
2/7/2021,9363,18.06,31.48
2/8/2021,9891,18.95,31.28
2/9/2021,10039,18.7,30.72
2/10/2021,10276,18.29,30.81
2/11/2021,10325,18.45,31.41
2/12/2021,10090,18.39,31.02
2/13/2021,9486,18.28,31.22
2/14/2021,9432,17.66,31.24
2/15/2021,9908,18.61,31.82
2/16/2021,10364,19.49,32.43
2/17/2021,10272,19.09,32.44
2/18/2021,10357,19.99,32.02
2/19/2021,10293,21.58,31.48
2/20/2021,9156,20.9,29.69
2/21/2021,8676,21.16,29.27
2/22/2021,8779,20.95,29.34
2/23/2021,9505,20.24,32.17
2/24/2021,9986,20.61,32.86
2/25/2021,10218,20.05,33.49
2/26/2021,10152,20.44,34.19
2/27/2021,10364,21.22,35.21
2/28/2021,10457,21.99,35.16
3/1/2021,10660,21.62,34.29
3/2/2021,10810,22.15,34.05
3/3/2021,10696,21.21,34.45
3/4/2021,10703,20.56,34.9
3/5/2021,10749,20.12,34.19
3/6/2021,10703,20.31,34.59
3/7/2021,10824,22.15,35.15
3/8/2021,10778,22.65,34.32
3/9/2021,11041,22.21,33.66
3/10/2021,10853,22.64,33.57
3/11/2021,11145,23.51,34.07
3/12/2021,10643,22.81,34.17
3/13/2021,10541,20.83,34.26
3/14/2021,10741,21.65,34.57
3/15/2021,10920,22.67,34.48
3/16/2021,11193,22.93,34.49
3/17/2021,10872,22.74,34.45
3/18/2021,10976,23.06,34.55
3/19/2021,10691,22.29,34.47
3/20/2021,10715,22.27,34.61
3/21/2021,10915,22.83,35.27
3/22/2021,11008,24.59,35.33
3/23/2021,11047,22.75,35.67
3/24/2021,10915,22.98,35.98
3/25/2021,10715,23.6,36.29
3/26/2021,11070,23.77,36.33
3/27/2021,11117,24.48,36.55
3/28/2021,11152,25.04,35.76
3/29/2021,11068,25.06,35.26
3/30/2021,11070,25.57,36.05
3/31/2021,11123,26.59,37.93
4/1/2021,11472,26.03,39.43
4/2/2021,11472,27.03,39.36
4/3/2021,11472,27.25,39.57
4/4/2021,11021,25.85,36.91
4/5/2021,11402,27.07,36.97
4/6/2021,10829,25.81,35.97
4/7/2021,10950,25.22,35.54
