State,Year,Source,Geographical Capacity (in MW),Generation (in MU),Allocated Capacity (in MW)
Tamil Nadu,2015-16,Thermal,,,12713.94
Tamil Nadu,2020-21,Thermal,,,14839.171
Tamil Nadu,2024-25,Nuclear,,,1448
Tamil Nadu,2016-17,Nuclear,,,1448
Tamil Nadu,2016-17,Thermal,,,14836.07
Tamil Nadu,2020-21,Res,,,15229.65
Tamil Nadu,2017-18,Res,,,11165.41
Tamil Nadu,2015-16,Hydro,,,2182.2
Tamil Nadu,2016-17,Hydro,,,2203.2
Tamil Nadu,2021-22,Private,,,21771.481
Tamil Nadu,2021-22,Central,,,6222.52
Tamil Nadu,2015-16,Central,,,5141.6
Tamil Nadu,2015-16,State,,,7598.98
Tamil Nadu,2016-17,Central,,,5837.52
Tamil Nadu,2021-22,State,,,7144.98
Tamil Nadu,2022-23,Private,,,23592.531
Tamil Nadu,2016-17,State,,,7169.98
Tamil Nadu,2019-20,Central,,,6245.97
Tamil Nadu,2023-24,Private,,,26069.601
Tamil Nadu,2022-23,State,,,7144.98
Tamil Nadu,2018-19,State,,,7144.98
Tamil Nadu,2020-21,Central,,,6222.52
Tamil Nadu,2023-24,State,,,7144.98
Tamil Nadu,2023-24,Central,,,6591.392
Tamil Nadu,2024-25,State,,,7144.98
Tamil Nadu,2018-19,Central,,,6069.42
Tamil Nadu,2019-20,Private,,,19449.39
Tamil Nadu,2015-16,Private,,,12889.45
Tamil Nadu,2024-25,Private,,,28182.091
Tamil Nadu,2017-18,State,,,7169.98
Tamil Nadu,2024-25,Central,,,6414.38
Tamil Nadu,2016-17,Private,,,16104.77
Tamil Nadu,2019-20,State,,,7144.98
Tamil Nadu,2020-21,State,,,7144.98
Tamil Nadu,2017-18,Private,,,16613.28
Tamil Nadu,2017-18,Central,,,6119.42
Tamil Nadu,2020-21,Private,,,20327.521
Tamil Nadu,2022-23,Central,,,6776.062
Tamil Nadu,2018-19,Private,,,17844.75
