Date,Peak Demand (in MW),Minimum Temprature (in C),Maximum Temprature (in C)
5/24/2023,12026,,
5/25/2023,11783,,
5/26/2023,11628,,
5/27/2023,12138,,
5/28/2023,11997,,
5/29/2023,11997,,
5/30/2023,10528,,
5/31/2023,10743,,
6/1/2023,11472,,
6/2/2023,11925,,
6/3/2023,12376,,
6/4/2023,11493,,
6/5/2023,11709,,
6/6/2023,12388,,
6/7/2023,12448,,
6/8/2023,11948,,
6/9/2023,12358,,
6/10/2023,12165,,
6/11/2023,11755,,
6/12/2023,12451,,
6/13/2023,12366,,
6/14/2023,12538,,
6/15/2023,12656,,
6/16/2023,12738,,
6/17/2023,12900,,
6/18/2023,12325,,
6/19/2023,11734,,
6/20/2023,11742,,
6/21/2023,10732,,
6/22/2023,10095,,
6/23/2023,9704,,
6/24/2023,9279,,
6/25/2023,9391,,
6/26/2023,9285,,
6/27/2023,9956,,
6/28/2023,10604,,
6/29/2023,11298,,
6/30/2023,10721,,
7/1/2023,11560,,
7/2/2023,11584,,
7/3/2023,11276,,
7/4/2023,10314,,
7/5/2023,9740,,
7/6/2023,9129,,
7/7/2023,9823,,
7/8/2023,9758,,
7/9/2023,10639,,
7/10/2023,10800,,
7/11/2023,10138,,
7/12/2023,10322,,
7/13/2023,9557,,
7/14/2023,10075,,
7/15/2023,9936,,
7/16/2023,9978,,
7/17/2023,9939,,
7/18/2023,9403,,
7/19/2023,8893,,
7/20/2023,9013,,
7/21/2023,8858,,
7/22/2023,9317,,
7/23/2023,8984,,
7/24/2023,9013,,
7/25/2023,8236,,
7/26/2023,7902,,
7/27/2023,8261,,
7/28/2023,8502,,
7/29/2023,8891,,
7/30/2023,9306,,
7/31/2023,9958,,
8/1/2023,9880,,
8/2/2023,10049,,
8/3/2023,10531,,
8/4/2023,11259,,
8/5/2023,11625,,
8/6/2023,11752,,
8/7/2023,12049,,
8/8/2023,12508,,
8/9/2023,12487,,
8/10/2023,12103,,
8/11/2023,11645,,
8/12/2023,11007,,
8/13/2023,11622,,
8/14/2023,11730,,
8/15/2023,11922,,
8/16/2023,12130,,
8/17/2023,11988,,
8/18/2023,11358,,
8/19/2023,11076,,
8/20/2023,11040,,
8/21/2023,11472,,
8/22/2023,12218,,
8/23/2023,11636,,
8/24/2023,11806,,
8/25/2023,12329,,
8/26/2023,11106,,
8/27/2023,10937,,
8/28/2023,11341,,
8/29/2023,11955,,
8/30/2023,12377,,
8/31/2023,12172,,
9/1/2023,12327,,
9/2/2023,11847,,
9/3/2023,9558,,
9/4/2023,9549,,
9/5/2023,9160,,
9/6/2023,9486,,
9/7/2023,9327,,
9/8/2023,9686,,
9/9/2023,10341,,
9/10/2023,10176,,
9/11/2023,10270,,
9/12/2023,10366,,
9/13/2023,10697,,
9/14/2023,10901,,
9/15/2023,11447,,
9/16/2023,10969,,
9/17/2023,11076,,
9/18/2023,11309,,
9/19/2023,11566,,
9/20/2023,11651,,
9/21/2023,11111,,
9/22/2023,10207,,
9/23/2023,10037,,
9/24/2023,9209,,
9/25/2023,9496,,
9/26/2023,9825,,
9/27/2023,9944,,
9/28/2023,10552,,
9/29/2023,9842,,
9/30/2023,9589,,
10/1/2023,9442,,
10/2/2023,9715,,
10/3/2023,10542,,
10/4/2023,10825,,
10/5/2023,11234,,
10/6/2023,11621,,
10/7/2023,11865,,
10/8/2023,12046,,
10/9/2023,12381,,
10/10/2023,12082,,
10/11/2023,11795,,
10/12/2023,12194,,
10/13/2023,12189,,
10/14/2023,12503,,
10/15/2023,12443,,
10/16/2023,12576,,
10/17/2023,12513,,
10/18/2023,12797,,
10/19/2023,13039,,
10/20/2023,12892,,
10/21/2023,12352,,
10/22/2023,12234,,
10/23/2023,11986,,
10/24/2023,12235,,
10/25/2023,12686,,
10/26/2023,12824,,
10/27/2023,12921,,
10/28/2023,12532,,
10/29/2023,12387,,
10/30/2023,12127,,
10/31/2023,12116,,
11/1/2023,12085,,
11/2/2023,11867,,
11/3/2023,11599,,
11/4/2023,11350,,
11/5/2023,10982,,
11/6/2023,10030,,
11/7/2023,10149,,
11/8/2023,10136,,
11/9/2023,9731,,
11/10/2023,9938,,
11/11/2023,9935,,
11/12/2023,10095,,
11/13/2023,10300,,
11/14/2023,10505,,
11/15/2023,10268,,
11/16/2023,10987,,
11/17/2023,11453,,
11/18/2023,11263,,
11/19/2023,11542,,
11/20/2023,11330,,
11/21/2023,10471,,
11/22/2023,10197,,
11/23/2023,9971,,
11/24/2023,9680,,
11/25/2023,9500,,
11/26/2023,9621,,
11/27/2023,9746,,
11/28/2023,10037,,
11/29/2023,10079,,
11/30/2023,9734,,
12/1/2023,9713,,
12/2/2023,9450,,
12/3/2023,8804,,
12/4/2023,7789,,
12/5/2023,6237,,
12/6/2023,7525,,
12/7/2023,7912,,
12/8/2023,8365,,
12/9/2023,8200,,
12/10/2023,7996,,
12/11/2023,8419,,
12/12/2023,8623,,
12/13/2023,9111,,
12/14/2023,9341,,
12/15/2023,9468,,
12/16/2023,9291,,
12/17/2023,9300,,
12/18/2023,9524,,
12/19/2023,9912,,
12/20/2023,10220,,
12/21/2023,10242,,
12/22/2023,10267,,
12/23/2023,10281,,
12/24/2023,10445,,
12/25/2023,10805,,
12/26/2023,10900,,
12/27/2023,10851,,
12/28/2023,10873,,
12/29/2023,10980,,
12/30/2023,10913,,
12/31/2023,11052,,
