Date,Peak Demand (in MW),Minimum Temprature (in C),Maximum Temprature (in C)
1/1/2023,10432,19.2,32.05
1/2/2023,10244,18.55,31.18
1/3/2023,10475,18.45,30.55
1/4/2023,10629,18.45,30.45
1/5/2023,10593,18.68,30.43
1/6/2023,10527,18.65,29.68
1/7/2023,10383,18.35,29.27
1/8/2023,10254,16.3,29.3
1/9/2023,10369,12.12,29.55
1/10/2023,10630,13.95,30.48
1/11/2023,10889,13.6,30.23
1/12/2023,11028,14.3,30.85
1/13/2023,11000,14.57,31
1/14/2023,11037,15.53,31.38
1/15/2023,10774,14.97,31.7
1/16/2023,10150,14.75,31.8
1/17/2023,10562,14.43,31.75
1/18/2023,10940,15.68,31.12
1/19/2023,11104,14.82,31.05
1/20/2023,11114,15.8,30.35
1/21/2023,10925,17.62,29.93
1/22/2023,11158,17.05,30.8
1/23/2023,11081,16.68,30.85
1/24/2023,11119,18.57,30.8
1/25/2023,11152,16.55,31.23
1/26/2023,11206,15.75,30.95
1/27/2023,11229,15.93,31.7
1/28/2023,11278,15.1,31.73
1/29/2023,11433,15.43,31.8
1/30/2023,11391,19.1,31.43
1/31/2023,11316,19.1,30.4
2/1/2023,11340,,
2/2/2023,11327,,
2/3/2023,11535,,
2/4/2023,11429,,
2/5/2023,11403,,
2/6/2023,11525,,
2/7/2023,11722,,
2/8/2023,11750,,
2/9/2023,11696,,
2/10/2023,11550,,
2/11/2023,10724,,
2/12/2023,11514,,
2/13/2023,11603,,
2/14/2023,11710,,
2/15/2023,11662,,
2/16/2023,11555,,
2/17/2023,11548,,
2/18/2023,11825,,
2/19/2023,11498,,
2/20/2023,11809,,
2/21/2023,11748,,
2/22/2023,11960,,
2/23/2023,11748,,
2/24/2023,11811,,
2/25/2023,11833,,
2/26/2023,11660,,
2/27/2023,11980,,
2/28/2023,11805,,
3/1/2023,11735,,
3/2/2023,11520,,
3/3/2023,11756,,
3/4/2023,11532,,
3/5/2023,11484,,
3/6/2023,11967,,
3/7/2023,11835,,
3/8/2023,11421,,
3/9/2023,11514,,
3/10/2023,11593,,
3/11/2023,10886,,
3/12/2023,11653,,
3/13/2023,12029,,
3/14/2023,12181,,
3/15/2023,12065,,
3/16/2023,12056,,
3/17/2023,9491,,
3/18/2023,9466,,
3/19/2023,7997,,
3/20/2023,8540,,
3/21/2023,9060,,
3/22/2023,9363,,
3/23/2023,9633,,
3/24/2023,10116,,
3/25/2023,10342,,
3/26/2023,10197,,
3/27/2023,10643,,
3/28/2023,11054,,
3/29/2023,11257,,
3/30/2023,11547,,
3/31/2023,11237,,
4/1/2023,10979,,
4/2/2023,10824,,
4/3/2023,10838,,
4/4/2023,11076,,
4/5/2023,11451,,
4/6/2023,11520,,
4/7/2023,11668,,
4/8/2023,11358,,
4/9/2023,11177,,
4/10/2023,11638,,
4/11/2023,11823,,
4/12/2023,11928,,
4/13/2023,12231,,
4/14/2023,12494,,
4/15/2023,11978,,
4/16/2023,11925,,
4/17/2023,12093,,
4/18/2023,12020,,
4/19/2023,12133,,
4/20/2023,12318,,
4/21/2023,12074,,
4/22/2023,11322,,
4/23/2023,10038,,
4/24/2023,10745,,
4/25/2023,11106,,
4/26/2023,10894,,
4/27/2023,11505,,
4/28/2023,11489,,
4/29/2023,11464,,
4/30/2023,10264,,
5/1/2023,8435,,
5/2/2023,8546,,
5/3/2023,8654,,
5/4/2023,8999,,
5/5/2023,8846,,
5/6/2023,8925,,
5/7/2023,8949,,
5/8/2023,9666,,
5/9/2023,9754,,
5/10/2023,10171,,
5/11/2023,10496,,
5/12/2023,10722,,
5/13/2023,11081,,
5/14/2023,10653,,
5/15/2023,11506,,
5/16/2023,11939,,
5/17/2023,12482,,
5/18/2023,12653,,
5/19/2023,12616,,
5/20/2023,12113,,
5/21/2023,11303,,
5/22/2023,11591,,
5/23/2023,11436,,
